"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\.venv\Lib\site-packages\cachetools-6.1.0.dist-info","cachetools-6.1.0.dist-info",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\certifi","certifi",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\certifi-2025.6.15.dist-info","certifi-2025.6.15.dist-info",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\charset_normalizer","charset_normalizer",,"7/5/2025 6:23:56 PM","7/5/2025 6:23:56 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\charset_normalizer-3.4.2.dist-info","charset_normalizer-3.4.2.dist-info",,"7/5/2025 6:23:56 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\click","click",,"7/5/2025 6:24:01 PM","7/5/2025 6:24:01 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\click-8.2.1.dist-info","click-8.2.1.dist-info",,"7/5/2025 6:24:01 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\colorama","colorama",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\colorama-0.4.6.dist-info","colorama-0.4.6.dist-info",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:56 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\dateutil","dateutil",,"7/5/2025 6:23:58 PM","7/5/2025 6:23:58 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\et_xmlfile","et_xmlfile",,"7/5/2025 6:48:37 PM","7/5/2025 6:48:38 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\et_xmlfile-2.0.0.dist-info","et_xmlfile-2.0.0.dist-info",,"7/5/2025 6:48:37 PM","7/5/2025 6:48:38 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\git","git",,"7/5/2025 6:24:48 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\gitdb","gitdb",,"7/5/2025 6:24:00 PM","7/5/2025 6:24:00 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\gitdb-4.0.12.dist-info","gitdb-4.0.12.dist-info",,"7/5/2025 6:24:00 PM","7/5/2025 6:24:01 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\GitPython-3.1.44.dist-info","GitPython-3.1.44.dist-info",,"7/5/2025 6:24:48 PM","7/5/2025 6:24:49 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\google","google",,"7/5/2025 6:23:25 PM","7/5/2025 6:23:25 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\idna","idna",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\idna-3.10.dist-info","idna-3.10.dist-info",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jinja2","jinja2",,"7/5/2025 6:23:59 PM","7/5/2025 6:23:59 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jinja2-3.1.6.dist-info","jinja2-3.1.6.dist-info",,"7/5/2025 6:23:59 PM","7/5/2025 6:24:00 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jsonschema","jsonschema",,"7/5/2025 6:24:49 PM","7/5/2025 6:24:49 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jsonschema_specifications","jsonschema_specifications",,"7/5/2025 6:24:48 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jsonschema_specifications-2025.4.1.dist-info","jsonschema_specifications-2025.4.1.dist-info",,"7/5/2025 6:24:48 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\jsonschema-4.24.0.dist-info","jsonschema-4.24.0.dist-info",,"7/5/2025 6:24:49 PM","7/5/2025 6:24:50 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\markupsafe","markupsafe",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\MarkupSafe-3.0.2.dist-info","MarkupSafe-3.0.2.dist-info",,"7/5/2025 6:23:55 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\narwhals","narwhals",,"7/5/2025 6:23:50 PM","7/5/2025 6:23:50 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\narwhals-1.45.0.dist-info","narwhals-1.45.0.dist-info",,"7/5/2025 6:23:50 PM","7/5/2025 6:23:55 PM","7/9/2025 11:55:32 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\numpy","numpy",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:33 PM","7/9/2025 11:55:32 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\numpy-2.3.1.dist-info","numpy-2.3.1.dist-info",,"7/5/2025 6:23:33 PM","7/5/2025 6:23:50 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\numpy.libs","numpy.libs",,"7/5/2025 6:23:32 PM","7/5/2025 6:23:33 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl","openpyxl",,"7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
